timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,isFailure
1526379373025727,-4,-12,-19,-4,7,8,2,2,false
1526379373025727,-4,-2,-2,-13,-8,1,0,-3,false
1526379373034734,2,0,7,16,5,3,0,2,false
1526379373034734,6,8,3,3,14,2,-2,0,false
1526379373048737,-2,1,-17,1,-1,-4,-1,-1,false
1526379373048737,-11,-23,-17,-8,-14,-4,-5,-4,false
1526379373057747,4,-9,7,8,-1,1,3,2,false
1526379373057747,4,8,3,29,-28,-9,-3,-1,false
1526379373064748,-3,-3,-18,-70,8,-2,-1,-2,false
1526379373064748,-7,7,-7,11,24,11,6,2,false
1526379373078762,0,-5,13,9,-9,-3,-2,1,false
1526379373078762,-1,-3,-16,2,4,1,-3,-3,false
1526379373085766,-1,-2,5,8,-27,-9,-3,0,false
1526379373085766,1,7,5,9,2,-4,1,1,false
1526379373094771,-3,-3,1,-3,14,5,3,1,false
1526379373094771,2,3,-4,-12,-6,3,7,4,false
1526379373108782,0,1,1,10,11,2,20,8,false
1526379373108782,1,0,-2,-21,-24,-10,-58,-13,false
1526379373117783,-3,4,2,16,9,-2,-3,-12,false
1526379373117783,1,-6,-11,-3,-6,2,13,0,false
1526379373123786,0,0,-5,-30,16,7,-10,-6,false
1526379373123786,2,-2,-7,18,-12,-7,17,8,false
1526379373132801,0,1,2,-11,-5,3,6,7,false
1526379373132801,4,6,3,-12,-6,-2,10,0,false
1526379373147802,-4,-1,5,20,6,3,-20,-14,false
1526379373147802,-7,3,3,6,3,3,-6,-5,false
1526379373154811,3,3,10,-22,-13,-9,-12,1,false
1526379373154811,-3,-9,-7,-7,6,7,11,2,false
1526379373168822,2,-5,-4,11,10,-1,5,7,false
1526379373168822,0,-3,-13,-7,1,-1,7,0,false
1526379373177823,-2,-6,-7,6,11,4,8,-1,false
1526379373177823,3,14,16,-5,-3,-3,-8,2,false
1526379373183833,-5,0,3,-5,-22,-5,-5,-7,false
1526379373183833,0,1,3,4,16,3,15,4,false
1526379373191837,-1,-9,-5,11,-4,2,5,0,false
1526379373191837,1,2,0,-5,11,6,6,-1,false
1526379373205846,0,9,4,5,-12,0,-1,7,false
1526379373205846,3,-5,-1,-2,10,-5,-20,-10,false
1526379373214847,-1,-5,-19,-8,-8,-3,-6,1,false
1526379373214847,-1,-1,-5,0,0,0,-5,-2,false
1526379373228857,-4,-1,4,-18,-13,-8,25,1,false
1526379373228857,-5,-3,18,32,-2,4,-2,4,false
1526379373236868,0,4,16,-24,20,9,4,-3,false
1526379373236868,-4,-9,-39,-2,-1,-8,-16,-5,false
1526379373242871,1,-3,2,3,4,1,15,8,false
1526379373242871,0,-5,-17,-19,-16,-3,4,6,false
1526379373251872,1,2,1,13,-13,-7,-5,-1,false
1526379373251872,1,7,38,-9,5,1,-10,-1,false
1526379373265890,-1,-3,-20,19,-2,0,2,-8,false
1526379373265890,-3,11,8,-22,4,0,-13,5,false
1526379373274887,-1,-18,-2,2,4,2,2,-12,false
1526379373274887,-1,-5,-2,29,-15,-9,5,3,false
1526379373288896,-1,-3,-16,-61,6,4,-13,-2,false
1526379373288896,1,0,6,21,-11,-1,16,0,false
1526379373297903,-1,6,1,-28,16,8,8,5,false
1526379373297903,-2,0,-1,4,5,-5,-23,-3,false
1526379373302911,2,1,8,25,-13,0,8,0,false
1526379373302911,3,2,-4,-3,6,2,25,3,false
1526379373311916,1,-7,-12,-2,-13,-9,-12,-2,false
1526379373311916,0,1,-11,-13,-12,-5,-4,-4,false
1526379373325926,-3,-4,7,11,12,3,-6,-1,false
1526379373325926,0,-2,-5,-4,-5,-1,9,3,false
1526379373334931,4,2,-2,0,10,2,0,-1,false
1526379373334931,-6,8,4,-5,0,0,-1,-8,false
1526379373347939,-4,-22,-2,5,-10,-4,-7,-1,false
1526379373347939,5,5,4,18,2,-5,-3,-3,false
1526379373357944,0,-1,12,-7,12,3,3,2,false
1526379373357944,6,1,-1,-2,1,8,9,5,false
1526379373371952,-2,-7,-19,7,-8,-5,-2,-1,false
1526379373371952,-2,4,8,19,-8,-4,11,3,false
1526379373373953,0,8,6,-36,5,-1,-28,-7,false
1526379373373953,-10,-17,-17,-3,2,-1,1,-1,false
1526379373385961,6,21,28,3,-6,-8,0,1,false
1526379373385961,-5,-31,-23,-4,10,6,3,-2,false
1526379373394971,0,5,10,28,-8,5,12,5,false
1526379373394971,0,-1,3,-13,1,-3,-1,-1,false
1526379373407976,2,21,7,0,14,9,2,0,false
1526379373407976,-3,-17,-14,-24,-2,-6,-13,-4,false
1526379373416982,-2,1,-10,7,-15,-6,-3,0,false
1526379373416982,-3,-1,6,-3,-9,-2,-5,-4,false
1526379373431992,-3,-1,-1,11,-4,-2,-2,1,false
1526379373431992,4,15,16,38,-3,2,-1,-2,false
1526379373433993,-2,-1,-9,-44,21,5,10,0,false
1526379373433993,3,-10,-3,6,-17,-6,-13,-1,false
1526379373447002,-4,7,-5,-1,33,9,-3,1,false
1526379373447002,0,3,1,-11,2,5,-8,-5,false
1526379373455007,-3,-1,4,14,-21,-10,-3,-2,false
1526379373455007,2,9,-5,-4,2,-2,8,3,false
1526379373469016,-2,-7,8,14,-16,-10,-8,-5,false
1526379373469016,-1,1,0,-7,17,7,-1,-2,false
1526379373477026,0,-5,-17,18,-7,-1,0,2,false
1526379373477026,2,-3,7,3,9,-1,5,-1,false
1526379373492036,3,9,16,-26,-16,-2,-7,-1,false
1526379373492036,-4,-14,-34,-18,-1,-5,4,-7,false
1526379373494033,-6,6,9,2,1,-1,-1,1,false
1526379373494033,-1,7,12,12,5,6,1,2,false
1526379373506045,1,-18,-31,8,-2,-1,6,2,false
1526379373506045,2,6,9,-4,-4,-3,7,0,false
1526379373515046,-3,-9,-7,-5,0,-4,-12,-4,false
1526379373515046,4,2,-5,-11,5,4,-3,1,false
1526379373528056,1,1,7,5,3,0,-2,-3,false
1526379373528056,0,7,15,-12,-8,-3,10,2,false
1526379373537066,0,17,-11,24,-13,-1,-1,1,false
1526379373537066,-4,-12,6,11,1,-3,0,-1,false
1526379373552072,2,0,13,-11,-1,-4,4,1,false
1526379373552072,-3,-6,-11,0,14,1,-10,1,false
1526379373554073,4,12,-8,1,6,-4,5,9,false
1526379373554073,0,-12,-8,-1,6,8,-4,-20,false
1526379373575092,-3,-2,-44,-10,-14,-6,-22,-12,false
1526379373575092,5,23,33,0,-2,2,-1,4,false
1526379373576088,-4,-36,-13,15,8,1,5,-2,false
1526379373576088,-5,8,-2,-12,-6,-5,-3,4,false
1526379373588100,0,-5,11,4,-5,-2,-1,-1,false
1526379373588100,0,4,13,1,-7,1,0,-4,false
1526379373597102,0,3,5,-14,2,2,8,2,false
1526379373597102,-2,-1,-4,8,2,0,3,2,false
1526379373612115,2,-1,1,-8,-4,-1,2,0,false
1526379373612115,-4,1,1,-5,4,-1,-2,-1,false
1526379373614112,2,4,13,30,-23,-4,-3,-3,false
1526379373614112,-2,-13,-11,-41,20,5,0,2,false
1526379373626125,-1,1,-1,12,2,6,6,4,false
1526379373626125,0,-1,29,17,11,3,11,3,false
1526379373635126,1,3,5,4,-14,-11,-28,-8,false
1526379373635126,5,13,29,25,1,2,4,4,false
1526379373648155,-4,-30,-82,-49,-15,-7,-2,-4,false
1526379373648155,1,4,-20,-1,5,5,0,-2,false
1526379373657140,-5,-5,26,8,9,0,4,-3,false
1526379373657140,5,14,45,24,-6,-3,2,5,false
1526379373672158,-5,-9,17,-38,-3,-7,-4,-3,false
1526379373672158,6,5,39,38,3,1,1,0,false
1526379373674156,4,2,2,-3,8,5,5,3,false
1526379373674156,2,11,38,11,3,2,0,3,false
1526379373686165,3,17,-5,23,6,6,6,3,false
1526379373686165,-10,-23,-36,-29,-20,-14,-12,-7,false
1526379373702174,6,15,31,19,-21,-5,4,5,false
1526379373702174,-2,-9,2,2,55,15,6,3,false
1526379373708194,-2,5,-7,-4,-1,-1,-4,-5,false
1526379373708194,-4,-15,-79,-31,-17,-10,-7,-4,false
1526379373717184,-1,-7,38,2,-3,5,4,2,false
1526379373717184,2,3,-89,-47,-17,-2,3,-2,false
1526379373732195,-1,-31,-25,-38,-3,0,-3,2,false
1526379373732195,-1,11,100,62,15,7,0,-2,false
1526379373734193,1,31,60,60,6,-2,-1,-12,false
1526379373734193,-9,-37,-84,-81,-36,-16,-11,0,false
1526379373746205,17,27,70,46,5,9,16,19,false
1526379373746205,-5,-19,-24,-13,-12,-4,-4,1,false
1526379373755206,1,-10,10,-7,21,5,-3,-4,false
1526379373755206,-5,10,16,-3,9,1,0,-8,false
1526379373768219,0,17,24,31,-1,0,-5,-5,false
1526379373768219,-1,1,-7,-23,-5,-3,-3,0,false
1526379373777222,5,-4,60,33,-3,0,7,10,false
1526379373777222,-15,-35,-92,-26,-28,-22,-18,-19,false
1526379373792234,2,11,21,-12,7,5,5,1,false
1526379373792234,15,30,52,42,21,14,9,9,false
1526379373794232,-1,-2,7,-5,6,3,-2,-3,false
1526379373794232,3,-4,19,-15,-31,-12,-3,1,false
1526379373806239,-3,8,16,78,14,4,0,0,false
1526379373806239,-8,-22,-72,-80,-3,-4,-8,-7,false
1526379373815246,-10,-41,-99,-39,-9,-12,-7,-1,false
1526379373815246,0,16,93,1,2,2,7,7,false
1526379373828276,-13,-26,-27,-14,-14,-3,-7,-11,false
1526379373828276,4,15,53,18,-6,-1,3,10,false
1526379373837262,6,22,-12,-36,8,3,6,7,false
1526379373837262,-6,-40,-50,43,-2,-6,-5,-4,false
1526379373852273,-9,5,16,-6,-4,-6,-2,-1,false
1526379373852273,1,-8,-94,-42,-11,-4,-7,-3,false
1526379373854271,5,6,-5,8,-13,-4,-1,1,false
1526379373854271,8,26,52,48,-8,5,9,7,false
1526379373866283,0,-8,14,-44,36,13,3,0,false
1526379373866283,-6,-16,-14,-1,17,2,-2,-7,false
1526379373875286,-2,-8,-35,4,-12,-5,-2,-4,false
1526379373875286,6,14,-2,3,-7,5,3,4,false
1526379373888299,-1,5,9,6,-13,-11,-11,-7,false
1526379373888299,5,11,19,35,1,2,8,7,false
1526379373897300,-9,-12,-13,-39,-13,-4,-4,-4,false
1526379373897300,-7,-6,-8,22,18,1,-4,-3,false
1526379373912314,7,8,8,-8,0,2,2,4,false
1526379373912314,1,4,14,8,-1,-2,-2,-2,false
1526379373913311,-1,5,-9,-5,-2,-1,-4,-3,false
1526379373913311,-3,-10,3,34,-13,-2,-2,-2,false
1526379373926324,-2,0,-5,-16,10,-4,0,0,false
1526379373926324,-3,3,5,-26,15,9,4,-2,false
1526379373935325,1,5,-1,9,-6,-4,-1,-2,false
1526379373935325,-1,3,-11,-28,32,13,7,4,false
1526379373948339,-1,-3,15,19,-24,-13,-7,-4,false
1526379373948339,-5,-7,-9,-22,-17,-10,-9,-6,false
1526379373957340,5,1,-1,2,-7,2,5,3,false
1526379373957340,3,18,6,-35,-4,-10,-7,-3,false
1526379373972353,5,3,-7,21,24,13,11,7,false
1526379373972353,-13,-17,-2,11,0,0,-4,-6,false
1526379373973351,2,18,24,-9,12,4,0,1,false
1526379373973351,4,8,-14,-11,-17,-4,1,1,false
1526379373986358,2,-3,12,5,-15,-10,-5,-1,false
1526379373986358,-2,-5,-39,-26,-7,-5,-7,-3,false
1526379373995365,-7,-10,-18,16,-4,3,-2,-3,false
1526379373995365,1,1,32,30,-1,1,7,1,false
1526379374008391,2,-2,-18,-24,24,9,1,-1,false
1526379374008391,7,4,16,4,-5,-1,13,4,false
1526379374017384,-2,5,12,-17,-1,-2,4,5,false
1526379374017384,1,5,6,27,-10,-3,-4,1,false
1526379374032408,-6,-5,-42,30,-12,-7,-21,-25,false
1526379374032408,2,-7,-7,-61,28,7,2,2,false
1526379374033390,-5,-7,12,13,-5,0,-3,-5,false
1526379374033390,3,12,-6,-21,-9,-1,5,9,false
1526379374046398,-1,-2,9,30,-7,-5,17,9,false
1526379374046398,-4,-1,0,12,-22,-6,-14,-11,false
1526379374054409,6,-1,8,29,29,11,21,11,false
1526379374054409,0,2,11,-2,12,7,8,16,false
1526379374068435,-5,1,-5,-31,-14,-3,-14,-26,false
1526379374068435,-3,7,14,31,-19,-8,-35,-16,false
1526379374077424,-5,-14,-32,0,15,-1,-11,-5,false
1526379374077424,-3,2,6,7,-2,4,59,3,false
1526379374092450,0,-7,39,11,7,-1,-62,6,false
1526379374092450,1,5,-57,-21,-2,-2,8,5,false
1526379374093430,-5,-25,-37,-39,-23,-8,-9,-4,false
1526379374093430,6,0,-2,-2,1,-2,5,5,false
1526379374105442,7,5,17,22,-21,-3,26,11,false
1526379374105442,-19,3,54,22,25,5,-7,-8,false
1526379374114448,1,-4,-18,-25,12,4,-12,-12,false
1526379374114448,-6,-11,-12,0,-4,0,-1,1,false
1526379374128458,1,-3,-8,-13,9,3,-1,4,false
1526379374128458,14,5,12,48,-26,-6,14,3,false
1526379374137462,1,-2,-21,-31,9,0,61,18,false
1526379374137462,-14,-6,8,1,16,-1,-66,-30,false
1526379374159483,6,8,5,-7,-10,0,17,16,false
1526379374159483,9,5,3,-2,-10,-3,-15,-4,false
1526379374161475,-13,-1,-1,11,-5,6,72,-2,false
1526379374161475,-1,-16,-14,-7,0,-14,-90,-25,false
1526379374176490,-4,-1,11,7,-7,-4,28,18,false
1526379374176490,4,3,-14,3,9,6,-11,-10,false
1526379374177486,7,-4,2,-3,16,0,-2,4,false
1526379374177486,1,8,16,-12,-4,0,-15,2,false
1526379374188503,-19,-13,-34,-23,-4,-4,4,-19,false
1526379374188503,9,11,22,5,-7,1,48,30,false
1526379374197499,11,5,1,28,-37,1,60,31,false
1526379374197499,9,9,0,-17,24,-2,-15,53,false
1526379374211512,-10,-21,-3,8,33,5,11,-96,false
1526379374211512,-8,13,13,12,9,1,-6,-10,false
1526379374218525,-23,-30,-48,-41,-12,-9,-39,-45,false
1526379374218525,17,13,19,8,-17,3,25,23,false
1526379374225537,0,7,2,20,-9,3,66,45,false
1526379374225537,-13,-12,8,-27,2,-6,-7,50,false
1526379374240532,-4,-22,-10,-24,14,-2,-93,-32,false
1526379374240532,-16,4,-24,7,-7,-8,-20,-50,false
1526379374248537,2,3,-6,-15,8,2,45,29,false
1526379374248537,24,11,-4,14,0,8,-55,-43,false
1526379374257541,-3,25,59,24,-15,-2,-23,28,false
1526379374257541,-20,-20,-7,-6,-8,-7,42,13,false
1526379374271552,33,-21,-50,1,14,1,-83,-21,false
1526379374271552,-39,-4,5,28,-4,1,68,26,false
1526379374278558,38,20,-6,-53,-2,3,-26,0,false
1526379374278558,-1,13,26,17,4,9,73,14,false
1526379374285562,-32,20,25,44,-7,-2,-16,-9,false
1526379374285562,15,-33,-21,-92,-11,-7,-43,-30,false
1526379374294569,-32,-39,8,52,7,-17,-53,-56,false
1526379374294569,29,25,-10,-25,25,17,-30,10,false
1526379374308577,24,9,20,24,1,16,81,53,false
1526379374308577,-15,-4,1,-28,-12,-16,-100,-25,false
1526379374317578,20,15,-7,74,-2,6,79,2,false
1526379374317578,-28,-30,-1,-68,-44,-20,36,7,false
1526379374331593,12,-12,36,11,9,-5,-44,-33,false
1526379374331593,11,7,-57,-42,47,26,109,54,false
1526379374338597,22,18,-1,-3,-18,-1,79,44,false
1526379374338597,-29,-12,-39,9,12,-12,-93,-83,false
1526379374355606,17,-2,15,65,9,3,16,-10,false
1526379374355606,-36,-7,59,-33,-16,-10,-10,-18,false
1526379374356605,16,7,-28,-38,7,1,0,41,false
1526379374356605,41,52,52,52,-15,12,109,39,false
1526379374368617,-6,18,-2,-54,-24,-5,-86,24,false
1526379374368617,65,-22,-50,-9,35,-8,52,-41,false
1526379374377624,-63,-10,13,81,35,13,-6,29,false
1526379374377624,-21,-54,-17,-71,-21,-15,-99,-87,false
1526379374391632,20,16,-17,-24,-16,0,18,-19,false
1526379374391632,23,31,15,9,-23,-2,52,56,false
1526379374398652,71,42,16,32,-27,0,-64,-11,false
1526379374398652,24,19,43,13,13,11,71,25,false
1526379374414644,-72,-83,-70,0,59,7,-55,-43,false
1526379374414644,-33,-26,-31,31,-28,-14,-76,-16,false
1526379374416645,-13,-1,35,-34,14,0,44,10,false
1526379374416645,48,22,30,65,-63,-15,-68,19,false
1526379374428653,28,84,49,-72,29,19,127,96,false
1526379374428653,33,-40,-9,-15,25,-18,-79,-65,false
1526379374437663,-38,56,0,57,14,15,-49,9,false
1526379374437663,-20,-4,6,52,8,-7,13,-45,false
1526379374451672,-21,-20,25,-34,-75,-19,-17,-25,false
1526379374451672,77,51,7,104,-40,12,127,91,false
1526379374458677,9,-9,10,-102,-15,-18,60,81,false
1526379374458677,-15,-35,-50,-21,110,23,-33,-86,false
1526379374474688,-68,67,47,-65,30,-3,60,10,false
1526379374474688,-10,-7,25,42,-9,5,34,-75,false
1526379374476689,-60,-79,-66,-28,-38,-4,-40,-44,false
1526379374476689,94,-29,-23,30,-43,4,127,127,false
1526379374488697,-72,9,7,26,-53,-32,-105,-12,false
1526379374488697,94,71,48,-14,46,20,50,-32,false
1526379374497701,-62,-48,25,-37,34,3,-41,-52,false
